NAME=b0254-53; DEC=-53.068; RA=2.932  ; PW50=0.007500 ; DM=15.90
NAME=j0255-5304; DEC=-53.068; RA=2.932  ; PW50=0.007500 ; DM=15.90
NAME=j0711-6830; DEC=-68.508; RA=7.186  ; PW50=0.001092 ; DM=18.41
NAME=b0743-53; DEC=-53.864; RA=7.763  ; PW50=0.010700 ; DM=121.38
NAME=j0745-5353; DEC=-53.864; RA=7.763  ; PW50=0.010700 ; DM=121.38
NAME=b0818-41; DEC=-41.237; RA=8.339  ; PW50=0.138500 ; DM=113.40
NAME=j0820-4114; DEC=-41.237; RA=8.339  ; PW50=0.138500 ; DM=113.40
NAME=b0834+06; DEC=6.169  ; RA=8.627  ; PW50=0.024800 ; DM=12.86
NAME=j0837+0610; DEC=6.169  ; RA=8.627  ; PW50=0.024800 ; DM=12.86
NAME=b0844-35; DEC=-35.559; RA=8.779  ; PW50=0.018600 ; DM=94.16
NAME=j0846-3533; DEC=-35.559; RA=8.779  ; PW50=0.018600 ; DM=94.16
NAME=b1541-52; DEC=-53.136; RA=15.746 ; PW50=0.004000 ; DM=35.16
NAME=j1544-5308; DEC=-53.136; RA=15.746 ; PW50=0.004000 ; DM=35.16
NAME=b1831-04; DEC=-4.441 ; RA=18.576 ; PW50=0.084000 ; DM=79.31
NAME=j1834-0426; DEC=-4.441 ; RA=18.576 ; PW50=0.084000 ; DM=79.31
NAME=b1855+09; DEC=9.729  ; RA=18.966 ; PW50=0.000518 ; DM=13.31
NAME=j1857+0943; DEC=9.729  ; RA=18.966 ; PW50=0.000518 ; DM=13.31
NAME=b2351+61; DEC=61.932 ; RA=23.915 ; PW50=0.010400 ; DM=94.66
NAME=j2354+6155; DEC=61.932 ; RA=23.915 ; PW50=0.010400 ; DM=94.66
NAME=b1641-68; DEC=-68.525; RA=16.779 ; PW50=0.074900 ; DM=43.00
NAME=j1646-6831; DEC=-68.525; RA=16.779 ; PW50=0.074900 ; DM=43.00
NAME=b1844-04; DEC=-4.034 ; RA=18.796 ; PW50=0.020400 ; DM=141.98
NAME=j1847-0402; DEC=-4.034 ; RA=18.796 ; PW50=0.020400 ; DM=141.98
NAME=b2000+40; DEC=40.847 ; RA=20.034 ; PW50=0.024800 ; DM=131.49
NAME=j2002+4050; DEC=40.847 ; RA=20.034 ; PW50=0.024800 ; DM=131.49
NAME=j1643-1224; DEC=-12.407; RA=16.729 ; PW50=0.000314 ; DM=62.41
NAME=b1834-10; DEC=-10.136; RA=18.610 ; PW50=0.006100 ; DM=316.98
NAME=j1836-1008; DEC=-10.136; RA=18.610 ; PW50=0.006100 ; DM=316.98
NAME=b2003-08; DEC=-8.119 ; RA=20.102 ; PW50=0.078300 ; DM=32.39
NAME=j2006-0807; DEC=-8.119 ; RA=20.102 ; PW50=0.078300 ; DM=32.39
NAME=b0136+57; DEC=58.237 ; RA=1.661  ; PW50=0.005200 ; DM=73.81
NAME=j0139+5814; DEC=58.237 ; RA=1.661  ; PW50=0.005200 ; DM=73.81
NAME=b0138+59; DEC=60.152 ; RA=1.695  ; PW50=0.034900 ; DM=34.93
NAME=j0141+6009; DEC=60.152 ; RA=1.695  ; PW50=0.034900 ; DM=34.93
NAME=b1055-52; DEC=-52.441; RA=10.966 ; PW50=0.088700 ; DM=29.69
NAME=j1057-5226; DEC=-52.441; RA=10.966 ; PW50=0.088700 ; DM=29.69
NAME=b1325-43; DEC=-43.966; RA=13.474 ; PW50=0.010400 ; DM=42.00
NAME=j1328-4357; DEC=-43.966; RA=13.474 ; PW50=0.010400 ; DM=42.00
NAME=b1839-04; DEC=-4.000 ; RA=18.712 ; PW50=0.071800 ; DM=195.98
NAME=j1842-0359; DEC=-4.000 ; RA=18.712 ; PW50=0.071800 ; DM=195.98
NAME=b2324+60; DEC=61.220 ; RA=23.441 ; PW50=0.014700 ; DM=122.61
NAME=j2326+6113; DEC=61.220 ; RA=23.441 ; PW50=0.014700 ; DM=122.61
NAME=b1859+03; DEC=3.525  ; RA=19.017 ; PW50=0.011000 ; DM=402.08
NAME=j1901+0331; DEC=3.525  ; RA=19.017 ; PW50=0.011000 ; DM=402.08
NAME=j1253-5820; DEC=-58.339; RA=12.898 ; PW50=0.003500 ; DM=100.58
NAME=b1647-52; DEC=-52.373; RA=16.864 ; PW50=0.016100 ; DM=179.10
NAME=j1651-5222; DEC=-52.373; RA=16.864 ; PW50=0.016100 ; DM=179.10
NAME=b1746-30; DEC=-30.034; RA=17.830 ; PW50=0.041700 ; DM=509.40
NAME=j1749-3002; DEC=-30.034; RA=17.830 ; PW50=0.041700 ; DM=509.40
